FIELDID,YEARID,AGE
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,35
1,36,36
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,55
1,56,56
1,57,57
1,58,58
1,59,59
1,60,60
1,61,61
1,62,62
1,63,63
6,1,1
6,2,2
6,3,3
6,4,4
6,5,5
6,6,6
6,7,7
6,8,8
6,9,9
6,10,10
6,11,11
6,12,12
6,13,13
6,14,14
6,15,15
6,16,16
6,17,17
6,18,18
6,19,19
6,20,20
6,21,21
6,22,22
6,23,23
6,24,24
6,25,25
6,26,26
6,27,27
6,28,28
6,29,29
6,30,30
6,31,31
6,32,32
6,33,33
6,34,34
6,35,35
6,36,36
6,37,37
6,38,38
6,39,39
6,40,40
6,41,41
6,42,42
6,43,43
6,44,44
6,45,45
6,46,46
6,47,47
6,48,48
6,49,49
6,50,50
6,51,51
6,52,52
6,53,53
6,54,54
6,55,55
6,56,56
6,57,57
6,58,58
6,59,59
6,60,60
6,61,61
6,62,62
6,63,63
7,3,1
7,4,2
7,5,3
7,6,4
7,7,5
7,8,6
7,9,7
7,10,8
7,11,9
7,12,10
7,13,11
7,14,12
7,15,13
7,16,14
7,17,15
7,18,16
7,19,17
7,20,18
7,21,19
7,22,20
7,23,21
7,24,22
7,25,23
7,26,24
7,27,25
7,28,26
7,29,27
7,30,28
7,31,29
7,32,30
7,33,31
7,34,32
7,35,33
7,36,34
7,37,35
7,38,36
7,39,37
7,40,38
7,41,39
7,42,40
7,43,41
7,44,42
7,45,43
7,46,44
7,47,45
7,48,46
7,49,47
7,50,48
7,51,49
7,52,50
7,53,51
7,54,52
7,55,53
7,56,54
7,57,55
7,58,56
7,59,57
7,60,58
7,61,59
7,62,60
7,63,61
8,3,1
8,4,2
8,5,3
8,6,4
8,7,5
8,8,6
8,9,7
8,10,8
8,11,9
8,12,10
8,13,11
8,14,12
8,15,13
8,16,14
8,17,15
8,18,16
8,19,17
8,20,18
8,21,19
8,22,20
8,23,21
8,24,22
8,25,23
8,26,24
8,27,25
8,28,26
8,29,27
8,30,28
8,31,29
8,32,30
8,33,31
8,34,32
8,35,33
8,36,34
8,37,35
8,38,36
8,39,37
8,40,38
8,41,39
8,42,40
8,43,41
8,44,42
8,45,43
8,46,44
8,47,45
8,48,46
8,49,47
8,50,48
8,51,49
8,52,50
8,53,51
8,54,52
8,55,53
8,56,54
8,57,55
8,58,56
8,59,57
8,60,58
8,61,59
8,62,60
8,63,61
9,5,1
9,6,2
9,7,3
9,8,4
9,9,5
9,10,6
9,11,7
9,12,8
9,13,9
9,14,10
9,15,11
9,16,12
9,17,13
9,18,14
9,19,15
9,20,16
9,21,17
9,22,18
9,23,19
9,24,20
9,25,21
9,26,22
9,27,23
9,28,24
9,29,25
9,30,26
9,31,27
9,32,28
9,33,29
9,34,30
9,35,31
9,36,32
9,37,33
9,38,34
9,39,35
9,40,36
9,41,37
9,42,38
9,43,39
9,44,40
9,45,41
9,46,42
9,47,43
9,48,44
9,49,45
9,50,46
9,51,47
9,52,48
9,53,49
9,54,50
9,55,51
9,56,52
9,57,53
9,58,54
9,59,55
9,60,56
9,61,57
9,62,58
9,63,59
10,5,1
10,6,2
10,7,3
10,8,4
10,9,5
10,10,6
10,11,7
10,12,8
10,13,9
10,14,10
10,15,11
10,16,12
10,17,13
10,18,14
10,19,15
10,20,16
10,21,17
10,22,18
10,23,19
10,24,20
10,25,21
10,26,22
10,27,23
10,28,24
10,29,25
10,30,26
10,31,27
10,32,28
10,33,29
10,34,30
10,35,31
10,36,32
10,37,33
10,38,34
10,39,35
10,40,36
10,41,37
10,42,38
10,43,39
10,44,40
10,45,41
10,46,42
10,47,43
10,48,44
10,49,45
10,50,46
10,51,47
10,52,48
10,53,49
10,54,50
10,55,51
10,56,52
10,57,53
10,58,54
10,59,55
10,60,56
10,61,57
10,62,58
10,63,59
4,7,1
4,8,2
4,9,3
4,10,4
4,11,5
4,12,6
4,13,7
4,14,8
4,15,9
4,16,10
4,17,11
4,18,12
4,19,13
4,20,14
4,21,15
4,22,16
4,23,17
4,24,18
4,25,19
4,26,20
4,27,21
4,28,22
4,29,23
4,30,24
4,31,25
4,32,26
4,33,27
4,34,28
4,35,29
4,36,30
4,37,31
4,38,32
4,39,33
4,40,34
4,41,35
4,42,36
4,43,37
4,44,38
4,45,39
4,46,40
4,47,41
4,48,42
4,49,43
4,50,44
4,51,45
4,52,46
4,53,47
4,54,48
4,55,49
4,56,50
4,57,51
4,58,52
4,59,53
4,60,54
4,61,55
4,62,56
4,63,57
5,7,1
5,8,2
5,9,3
5,10,4
5,11,5
5,12,6
5,13,7
5,14,8
5,15,9
5,16,10
5,17,11
5,18,12
5,19,13
5,20,14
5,21,15
5,22,16
5,23,17
5,24,18
5,25,19
5,26,20
5,27,21
5,28,22
5,29,23
5,30,24
5,31,25
5,32,26
5,33,27
5,34,28
5,35,29
5,36,30
5,37,31
5,38,32
5,39,33
5,40,34
5,41,35
5,42,36
5,43,37
5,44,38
5,45,39
5,46,40
5,47,41
5,48,42
5,49,43
5,50,44
5,51,45
5,52,46
5,53,47
5,54,48
5,55,49
5,56,50
5,57,51
5,58,52
5,59,53
5,60,54
5,61,55
5,62,56
5,63,57
2,9,1
2,10,2
2,11,3
2,12,4
2,13,5
2,14,6
2,15,7
2,16,8
2,17,9
2,18,10
2,19,11
2,20,12
2,21,13
2,22,14
2,23,15
2,24,16
2,25,17
2,26,18
2,27,19
2,28,20
2,29,21
2,30,22
2,31,23
2,32,24
2,33,25
2,34,26
2,35,27
2,36,28
2,37,29
2,38,30
2,39,31
2,40,32
2,41,33
2,42,34
2,43,35
2,44,36
2,45,37
2,46,38
2,47,39
2,48,40
2,49,41
2,50,42
2,51,43
2,52,44
2,53,45
2,54,46
2,55,47
2,56,48
2,57,49
2,58,50
2,59,51
2,60,52
2,61,53
2,62,54
2,63,55
3,9,1
3,10,2
3,11,3
3,12,4
3,13,5
3,14,6
3,15,7
3,16,8
3,17,9
3,18,10
3,19,11
3,20,12
3,21,13
3,22,14
3,23,15
3,24,16
3,25,17
3,26,18
3,27,19
3,28,20
3,29,21
3,30,22
3,31,23
3,32,24
3,33,25
3,34,26
3,35,27
3,36,28
3,37,29
3,38,30
3,39,31
3,40,32
3,41,33
3,42,34
3,43,35
3,44,36
3,45,37
3,46,38
3,47,39
3,48,40
3,49,41
3,50,42
3,51,43
3,52,44
3,53,45
3,54,46
3,55,47
3,56,48
3,57,49
3,58,50
3,59,51
3,60,52
3,61,53
3,62,54
3,63,55
